sprint,respondent,team,psych_safety_1to5,conflict_is_healthy_1to5
S7 (Jul 1-14),Dana Whitfield,platform,5,4
S7 (Jul 1-14),Marcus Bell,platform,5,5
S7 (Jul 1-14),Priya Nair,platform,4,4
S7 (Jul 1-14),Tomás Reyes,platform,4,4
S7 (Jul 1-14),Naomi Kito,platform,4,3
S7 (Jul 1-14),Ben Larsson,platform,5,4
S7 (Jul 1-14),Sarah Kowalski,governance,5,5
S7 (Jul 1-14),James Ahkivgak,governance,5,5
S7 (Jul 1-14),Rachel Green,governance,4,4
S7 (Jul 1-14),Kevin Osei,governance,4,4
S7 (Jul 1-14),Lily Chen,governance,4,4
S7 (Jul 1-14),Mark Dupont,governance,4,4
S8 (Jul 15-28),Dana Whitfield,platform,5,4
S8 (Jul 15-28),Marcus Bell,platform,5,5
S8 (Jul 15-28),Priya Nair,platform,4,4
S8 (Jul 15-28),Tomás Reyes,platform,4,4
S8 (Jul 15-28),Naomi Kito,platform,4,4
S8 (Jul 15-28),Ben Larsson,platform,5,4
S8 (Jul 15-28),Sarah Kowalski,governance,5,5
S8 (Jul 15-28),James Ahkivgak,governance,5,5
S8 (Jul 15-28),Rachel Green,governance,4,4
S8 (Jul 15-28),Kevin Osei,governance,4,4
S8 (Jul 15-28),Lily Chen,governance,4,4
S8 (Jul 15-28),Mark Dupont,governance,4,4
S9 (Jul 29-Aug 11),Dana Whitfield,platform,5,5
S9 (Jul 29-Aug 11),Marcus Bell,platform,5,5
S9 (Jul 29-Aug 11),Priya Nair,platform,5,4
S9 (Jul 29-Aug 11),Tomás Reyes,platform,5,5
S9 (Jul 29-Aug 11),Naomi Kito,platform,5,4
S9 (Jul 29-Aug 11),Ben Larsson,platform,5,5
S9 (Jul 29-Aug 11),Sarah Kowalski,governance,5,5
S9 (Jul 29-Aug 11),James Ahkivgak,governance,5,5
S9 (Jul 29-Aug 11),Rachel Green,governance,4,4
S9 (Jul 29-Aug 11),Kevin Osei,governance,4,4
S9 (Jul 29-Aug 11),Lily Chen,governance,5,5
S9 (Jul 29-Aug 11),Mark Dupont,governance,4,4
S10 (Aug 12-25),Dana Whitfield,platform,5,5
S10 (Aug 12-25),Marcus Bell,platform,5,5
S10 (Aug 12-25),Priya Nair,platform,5,5
S10 (Aug 12-25),Tomás Reyes,platform,5,5
S10 (Aug 12-25),Naomi Kito,platform,5,5
S10 (Aug 12-25),Ben Larsson,platform,5,5
S10 (Aug 12-25),Sarah Kowalski,governance,5,5
S10 (Aug 12-25),James Ahkivgak,governance,5,5
S10 (Aug 12-25),Rachel Green,governance,5,5
S10 (Aug 12-25),Kevin Osei,governance,4,4
S10 (Aug 12-25),Lily Chen,governance,5,5
S10 (Aug 12-25),Mark Dupont,governance,4,5
S11 (Aug 26-Sep 8),Dana Whitfield,platform,5,5
S11 (Aug 26-Sep 8),Marcus Bell,platform,5,5
S11 (Aug 26-Sep 8),Priya Nair,platform,5,5
S11 (Aug 26-Sep 8),Tomás Reyes,platform,5,5
S11 (Aug 26-Sep 8),Naomi Kito,platform,5,5
S11 (Aug 26-Sep 8),Ben Larsson,platform,5,5
S11 (Aug 26-Sep 8),Sarah Kowalski,governance,5,5
S11 (Aug 26-Sep 8),James Ahkivgak,governance,5,5
S11 (Aug 26-Sep 8),Rachel Green,governance,5,5
S11 (Aug 26-Sep 8),Kevin Osei,governance,5,5
S11 (Aug 26-Sep 8),Lily Chen,governance,5,5
S11 (Aug 26-Sep 8),Mark Dupont,governance,5,5
S12 (Sep 9-22),Dana Whitfield,platform,5,5
S12 (Sep 9-22),Marcus Bell,platform,5,5
S12 (Sep 9-22),Priya Nair,platform,5,5
S12 (Sep 9-22),Tomás Reyes,platform,5,5
S12 (Sep 9-22),Naomi Kito,platform,5,5
S12 (Sep 9-22),Ben Larsson,platform,5,5
S12 (Sep 9-22),Sarah Kowalski,governance,5,5
S12 (Sep 9-22),James Ahkivgak,governance,5,5
S12 (Sep 9-22),Rachel Green,governance,5,5
S12 (Sep 9-22),Kevin Osei,governance,5,5
S12 (Sep 9-22),Lily Chen,governance,5,5
S12 (Sep 9-22),Mark Dupont,governance,5,5
