sprint,respondent,team,psych_safety_1to5,conflict_is_healthy_1to5
S1 (Apr 6-19),Dana Whitfield,platform,4,3
S1 (Apr 6-19),Marcus Bell,platform,4,4
S1 (Apr 6-19),Priya Nair,platform,4,3
S1 (Apr 6-19),Tomás Reyes,platform,3,3
S1 (Apr 6-19),Naomi Kito,platform,3,2
S1 (Apr 6-19),Ben Larsson,platform,3,2
S1 (Apr 6-19),Sarah Kowalski,governance,4,4
S1 (Apr 6-19),James Ahkivgak,governance,4,4
S1 (Apr 6-19),Rachel Green,governance,4,4
S1 (Apr 6-19),Kevin Osei,governance,4,4
S1 (Apr 6-19),Lily Chen,governance,3,3
S1 (Apr 6-19),Mark Dupont,governance,3,3
S2 (Apr 20-May 3),Dana Whitfield,platform,4,3
S2 (Apr 20-May 3),Marcus Bell,platform,4,4
S2 (Apr 20-May 3),Priya Nair,platform,3,3
S2 (Apr 20-May 3),Tomás Reyes,platform,3,3
S2 (Apr 20-May 3),Naomi Kito,platform,3,2
S2 (Apr 20-May 3),Ben Larsson,platform,2,2
S2 (Apr 20-May 3),Sarah Kowalski,governance,4,4
S2 (Apr 20-May 3),James Ahkivgak,governance,4,5
S2 (Apr 20-May 3),Rachel Green,governance,4,4
S2 (Apr 20-May 3),Kevin Osei,governance,4,4
S2 (Apr 20-May 3),Lily Chen,governance,3,3
S2 (Apr 20-May 3),Mark Dupont,governance,3,3
S3 (May 4-17),Dana Whitfield,platform,3,3
S3 (May 4-17),Marcus Bell,platform,4,4
S3 (May 4-17),Priya Nair,platform,3,3
S3 (May 4-17),Tomás Reyes,platform,2,3
S3 (May 4-17),Naomi Kito,platform,3,2
S3 (May 4-17),Ben Larsson,platform,2,2
S3 (May 4-17),Sarah Kowalski,governance,3,4
S3 (May 4-17),James Ahkivgak,governance,4,4
S3 (May 4-17),Rachel Green,governance,4,4
S3 (May 4-17),Kevin Osei,governance,4,4
S3 (May 4-17),Lily Chen,governance,4,4
S3 (May 4-17),Mark Dupont,governance,3,3
S4 (May 18-31),Dana Whitfield,platform,4,3
S4 (May 18-31),Marcus Bell,platform,4,5
S4 (May 18-31),Priya Nair,platform,4,4
S4 (May 18-31),Tomás Reyes,platform,3,4
S4 (May 18-31),Naomi Kito,platform,3,3
S4 (May 18-31),Ben Larsson,platform,4,3
S4 (May 18-31),Sarah Kowalski,governance,4,4
S4 (May 18-31),James Ahkivgak,governance,4,5
S4 (May 18-31),Rachel Green,governance,4,4
S4 (May 18-31),Kevin Osei,governance,4,4
S4 (May 18-31),Lily Chen,governance,4,4
S4 (May 18-31),Mark Dupont,governance,3,3
S5 (Jun 1-14),Dana Whitfield,platform,4,4
S5 (Jun 1-14),Marcus Bell,platform,5,5
S5 (Jun 1-14),Priya Nair,platform,4,4
S5 (Jun 1-14),Tomás Reyes,platform,4,4
S5 (Jun 1-14),Naomi Kito,platform,3,3
S5 (Jun 1-14),Ben Larsson,platform,4,4
S5 (Jun 1-14),Sarah Kowalski,governance,5,5
S5 (Jun 1-14),James Ahkivgak,governance,4,5
S5 (Jun 1-14),Rachel Green,governance,4,4
S5 (Jun 1-14),Kevin Osei,governance,4,4
S5 (Jun 1-14),Lily Chen,governance,4,4
S5 (Jun 1-14),Mark Dupont,governance,4,4
S6 (Jun 15-28),Dana Whitfield,platform,5,4
S6 (Jun 15-28),Marcus Bell,platform,5,5
S6 (Jun 15-28),Priya Nair,platform,4,4
S6 (Jun 15-28),Tomás Reyes,platform,4,4
S6 (Jun 15-28),Naomi Kito,platform,4,3
S6 (Jun 15-28),Ben Larsson,platform,5,4
S6 (Jun 15-28),Sarah Kowalski,governance,5,5
S6 (Jun 15-28),James Ahkivgak,governance,5,5
S6 (Jun 15-28),Rachel Green,governance,4,4
S6 (Jun 15-28),Kevin Osei,governance,4,4
S6 (Jun 15-28),Lily Chen,governance,4,4
S6 (Jun 15-28),Mark Dupont,governance,4,4
